coin 1;coin 2;number of matches
D:\code\python\numisma\numisma\data\R_1211\32730-R.jpg;D:\code\python\numisma\numisma\data\R_1211\32683-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33392-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13013-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33392-R.jpg;D:\code\python\numisma\numisma\data\R_1211\1331-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33392-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13626-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33392-R.jpg;D:\code\python\numisma\numisma\data\R_1211\1374-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33392-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13826-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33392-R.jpg;D:\code\python\numisma\numisma\data\R_1211\17323-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33392-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18000-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33392-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18102-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33392-R.jpg;D:\code\python\numisma\numisma\data\R_1211\19027-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33392-R.jpg;D:\code\python\numisma\numisma\data\R_1211\31936-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33392-R.jpg;D:\code\python\numisma\numisma\data\R_1211\32730-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33437-R.jpg;D:\code\python\numisma\numisma\data\R_1211\123-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33437-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13013-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33437-R.jpg;D:\code\python\numisma\numisma\data\R_1211\1331-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33437-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13626-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33437-R.jpg;D:\code\python\numisma\numisma\data\R_1211\1374-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33437-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13826-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33437-R.jpg;D:\code\python\numisma\numisma\data\R_1211\14199-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33437-R.jpg;D:\code\python\numisma\numisma\data\R_1211\14678-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33437-R.jpg;D:\code\python\numisma\numisma\data\R_1211\17323-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33437-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18000-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33437-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18102-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33437-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18478-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33437-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18546-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33437-R.jpg;D:\code\python\numisma\numisma\data\R_1211\19027-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33437-R.jpg;D:\code\python\numisma\numisma\data\R_1211\19138-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33437-R.jpg;D:\code\python\numisma\numisma\data\R_1211\30852-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33437-R.jpg;D:\code\python\numisma\numisma\data\R_1211\32683-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33437-R.jpg;D:\code\python\numisma\numisma\data\R_1211\32730-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33437-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33392-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33513-R.jpg;D:\code\python\numisma\numisma\data\R_1211\123-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33513-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13013-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33513-R.jpg;D:\code\python\numisma\numisma\data\R_1211\1331-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33513-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13626-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33513-R.jpg;D:\code\python\numisma\numisma\data\R_1211\1374-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33513-R.jpg;D:\code\python\numisma\numisma\data\R_1211\14678-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33513-R.jpg;D:\code\python\numisma\numisma\data\R_1211\17323-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33513-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18000-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33513-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18102-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33513-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18546-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33513-R.jpg;D:\code\python\numisma\numisma\data\R_1211\19027-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33513-R.jpg;D:\code\python\numisma\numisma\data\R_1211\19138-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33513-R.jpg;D:\code\python\numisma\numisma\data\R_1211\30852-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33513-R.jpg;D:\code\python\numisma\numisma\data\R_1211\31936-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33513-R.jpg;D:\code\python\numisma\numisma\data\R_1211\32683-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33513-R.jpg;D:\code\python\numisma\numisma\data\R_1211\32730-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33513-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33392-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33837-R.jpg;D:\code\python\numisma\numisma\data\R_1211\123-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33837-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13013-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33837-R.jpg;D:\code\python\numisma\numisma\data\R_1211\1331-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33837-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13626-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33837-R.jpg;D:\code\python\numisma\numisma\data\R_1211\1374-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33837-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13826-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33837-R.jpg;D:\code\python\numisma\numisma\data\R_1211\14199-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33837-R.jpg;D:\code\python\numisma\numisma\data\R_1211\17323-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33837-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18000-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33837-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18102-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33837-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18546-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33837-R.jpg;D:\code\python\numisma\numisma\data\R_1211\19027-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33837-R.jpg;D:\code\python\numisma\numisma\data\R_1211\19138-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33837-R.jpg;D:\code\python\numisma\numisma\data\R_1211\30852-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33837-R.jpg;D:\code\python\numisma\numisma\data\R_1211\32730-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33837-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33392-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\33837-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33513-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36246-R.jpg;D:\code\python\numisma\numisma\data\R_1211\123-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36246-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13013-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36246-R.jpg;D:\code\python\numisma\numisma\data\R_1211\1331-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36246-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13626-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36246-R.jpg;D:\code\python\numisma\numisma\data\R_1211\1374-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36246-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13826-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36246-R.jpg;D:\code\python\numisma\numisma\data\R_1211\17323-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36246-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18000-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36246-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18102-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36246-R.jpg;D:\code\python\numisma\numisma\data\R_1211\19027-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36246-R.jpg;D:\code\python\numisma\numisma\data\R_1211\19138-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36246-R.jpg;D:\code\python\numisma\numisma\data\R_1211\32683-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36246-R.jpg;D:\code\python\numisma\numisma\data\R_1211\32730-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36246-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33392-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36246-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33837-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36258-R.jpg;D:\code\python\numisma\numisma\data\R_1211\123-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36258-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13013-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36258-R.jpg;D:\code\python\numisma\numisma\data\R_1211\1331-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36258-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13626-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36258-R.jpg;D:\code\python\numisma\numisma\data\R_1211\1374-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36258-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13826-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36258-R.jpg;D:\code\python\numisma\numisma\data\R_1211\14199-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36258-R.jpg;D:\code\python\numisma\numisma\data\R_1211\14678-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36258-R.jpg;D:\code\python\numisma\numisma\data\R_1211\17323-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36258-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18000-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36258-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18102-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36258-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18478-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36258-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18546-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36258-R.jpg;D:\code\python\numisma\numisma\data\R_1211\19027-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36258-R.jpg;D:\code\python\numisma\numisma\data\R_1211\19138-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36258-R.jpg;D:\code\python\numisma\numisma\data\R_1211\30852-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36258-R.jpg;D:\code\python\numisma\numisma\data\R_1211\31936-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36258-R.jpg;D:\code\python\numisma\numisma\data\R_1211\32683-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36258-R.jpg;D:\code\python\numisma\numisma\data\R_1211\32730-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36258-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33392-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36258-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33437-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36258-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33513-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36258-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33837-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36258-R.jpg;D:\code\python\numisma\numisma\data\R_1211\36246-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36844-R.jpg;D:\code\python\numisma\numisma\data\R_1211\123-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36844-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13013-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36844-R.jpg;D:\code\python\numisma\numisma\data\R_1211\1331-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36844-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13626-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36844-R.jpg;D:\code\python\numisma\numisma\data\R_1211\1374-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36844-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13826-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36844-R.jpg;D:\code\python\numisma\numisma\data\R_1211\14678-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36844-R.jpg;D:\code\python\numisma\numisma\data\R_1211\17323-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36844-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18000-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36844-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18102-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36844-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18546-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36844-R.jpg;D:\code\python\numisma\numisma\data\R_1211\19027-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36844-R.jpg;D:\code\python\numisma\numisma\data\R_1211\19138-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36844-R.jpg;D:\code\python\numisma\numisma\data\R_1211\30852-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36844-R.jpg;D:\code\python\numisma\numisma\data\R_1211\32683-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36844-R.jpg;D:\code\python\numisma\numisma\data\R_1211\32730-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36844-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33837-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\36844-R.jpg;D:\code\python\numisma\numisma\data\R_1211\36246-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41215-R.jpg;D:\code\python\numisma\numisma\data\R_1211\123-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41215-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13013-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41215-R.jpg;D:\code\python\numisma\numisma\data\R_1211\1331-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41215-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13626-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41215-R.jpg;D:\code\python\numisma\numisma\data\R_1211\1374-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41215-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13826-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41215-R.jpg;D:\code\python\numisma\numisma\data\R_1211\14199-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41215-R.jpg;D:\code\python\numisma\numisma\data\R_1211\14678-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41215-R.jpg;D:\code\python\numisma\numisma\data\R_1211\17323-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41215-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18000-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41215-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18102-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41215-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18478-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41215-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18546-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41215-R.jpg;D:\code\python\numisma\numisma\data\R_1211\19027-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41215-R.jpg;D:\code\python\numisma\numisma\data\R_1211\19138-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41215-R.jpg;D:\code\python\numisma\numisma\data\R_1211\30852-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41215-R.jpg;D:\code\python\numisma\numisma\data\R_1211\31936-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41215-R.jpg;D:\code\python\numisma\numisma\data\R_1211\32683-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41215-R.jpg;D:\code\python\numisma\numisma\data\R_1211\32730-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41215-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33392-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41215-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33437-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41215-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33513-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41215-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33837-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41215-R.jpg;D:\code\python\numisma\numisma\data\R_1211\36246-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41215-R.jpg;D:\code\python\numisma\numisma\data\R_1211\36258-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41215-R.jpg;D:\code\python\numisma\numisma\data\R_1211\36844-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41245-R.jpg;D:\code\python\numisma\numisma\data\R_1211\1331-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41245-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13626-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41245-R.jpg;D:\code\python\numisma\numisma\data\R_1211\1374-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41245-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13826-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41245-R.jpg;D:\code\python\numisma\numisma\data\R_1211\14199-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41245-R.jpg;D:\code\python\numisma\numisma\data\R_1211\14678-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41245-R.jpg;D:\code\python\numisma\numisma\data\R_1211\17323-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41245-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18000-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41245-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18102-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41245-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18478-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41245-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18546-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41245-R.jpg;D:\code\python\numisma\numisma\data\R_1211\19027-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41245-R.jpg;D:\code\python\numisma\numisma\data\R_1211\19138-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41245-R.jpg;D:\code\python\numisma\numisma\data\R_1211\30852-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41245-R.jpg;D:\code\python\numisma\numisma\data\R_1211\31936-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41245-R.jpg;D:\code\python\numisma\numisma\data\R_1211\32683-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41245-R.jpg;D:\code\python\numisma\numisma\data\R_1211\32730-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41245-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33392-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41245-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33437-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41245-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33837-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41245-R.jpg;D:\code\python\numisma\numisma\data\R_1211\36246-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41245-R.jpg;D:\code\python\numisma\numisma\data\R_1211\36258-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41245-R.jpg;D:\code\python\numisma\numisma\data\R_1211\36844-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\41245-R.jpg;D:\code\python\numisma\numisma\data\R_1211\41215-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\484-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13013-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\484-R.jpg;D:\code\python\numisma\numisma\data\R_1211\1331-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\484-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13626-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\484-R.jpg;D:\code\python\numisma\numisma\data\R_1211\1374-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\484-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13826-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\484-R.jpg;D:\code\python\numisma\numisma\data\R_1211\14199-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\484-R.jpg;D:\code\python\numisma\numisma\data\R_1211\14678-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\484-R.jpg;D:\code\python\numisma\numisma\data\R_1211\17323-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\484-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18000-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\484-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18478-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\484-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18546-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\484-R.jpg;D:\code\python\numisma\numisma\data\R_1211\19027-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\484-R.jpg;D:\code\python\numisma\numisma\data\R_1211\30852-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\484-R.jpg;D:\code\python\numisma\numisma\data\R_1211\31936-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\484-R.jpg;D:\code\python\numisma\numisma\data\R_1211\32683-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\484-R.jpg;D:\code\python\numisma\numisma\data\R_1211\32730-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\484-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33392-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\484-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33437-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\484-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33513-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\484-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33837-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\484-R.jpg;D:\code\python\numisma\numisma\data\R_1211\36246-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\484-R.jpg;D:\code\python\numisma\numisma\data\R_1211\36258-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\484-R.jpg;D:\code\python\numisma\numisma\data\R_1211\36844-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\484-R.jpg;D:\code\python\numisma\numisma\data\R_1211\41215-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\5572-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13013-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\5572-R.jpg;D:\code\python\numisma\numisma\data\R_1211\1331-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\5572-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13626-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\5572-R.jpg;D:\code\python\numisma\numisma\data\R_1211\1374-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\5572-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13826-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\5572-R.jpg;D:\code\python\numisma\numisma\data\R_1211\14678-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\5572-R.jpg;D:\code\python\numisma\numisma\data\R_1211\17323-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\5572-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18000-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\5572-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18102-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\5572-R.jpg;D:\code\python\numisma\numisma\data\R_1211\19027-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\5572-R.jpg;D:\code\python\numisma\numisma\data\R_1211\19138-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\5572-R.jpg;D:\code\python\numisma\numisma\data\R_1211\30852-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\5572-R.jpg;D:\code\python\numisma\numisma\data\R_1211\31936-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\5572-R.jpg;D:\code\python\numisma\numisma\data\R_1211\32683-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\5572-R.jpg;D:\code\python\numisma\numisma\data\R_1211\32730-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\5572-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33392-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\5572-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33837-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\5572-R.jpg;D:\code\python\numisma\numisma\data\R_1211\36246-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\5572-R.jpg;D:\code\python\numisma\numisma\data\R_1211\36258-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\5572-R.jpg;D:\code\python\numisma\numisma\data\R_1211\36844-R.jpg;0
D:\code\python\numisma\numisma\data\R_1211\5572-R.jpg;D:\code\python\numisma\numisma\data\R_1211\41215-R.jpg;0
